GA_scaled,Command_index_scaled,GA90_scaled,Save_consistency_scaled,League_strength_scaled,Shot_stopping_index_scaled,PKatt_scaled,Adj_GA90_scaled,Starts_scaled,MP_scaled,Goals_prevented_scaled,Saves_per_90_scaled,Mins_per_match_scaled,L_scaled,90s_scaled,Experience_scaled,W_scaled,SoTA_scaled,CS_scaled,D_scaled,Adj_save%_scaled,Born_scaled,Min_scaled,Top_team_experience_scaled,Market_value_driver_scaled,Age_scaled,Shots_faced_per_90_scaled,PKA_scaled,Saves_scaled,Market_Value_Numeric,Log_Market_Value
0.14705882352941177,-0.12630661584856467,-0.5345622119815667,0.25663410104924744,1.6507592190889404,0.28824873094560016,-0.25,-0.9415135602595003,0.3333333333333333,0.3333333333333333,0.5351948807446182,-0.07260261511134093,-0.5326876513317262,-0.2,0.32962962962962955,0.35673409919185844,1.1,0.26450116009280744,0.7142857142857143,0.42857142857142855,0.9730285721183481,-0.5714285714285714,0.32839506172839505,1.0,1.0154288494406596,0.5,-0.37568106711391547,0.0,0.3493150684931507,20000000.0,16.811242881518265
0.5,-0.4471177125681148,0.5529953917050686,0.2654456526649859,1.6507592190889404,-0.7627293300206179,-0.5,0.35033062707330237,0.2222222222222222,0.25925925925925924,-1.094628660073682,0.41396913094753707,-3.8244241634072513,0.8,0.22592592592592597,0.3043572814061628,-0.2,0.4037122969837587,0.14285714285714285,0.42857142857142855,0.23239257693429047,-0.42857142857142855,0.22633744855967078,0.0,0.294213474915627,0.5,0.4595616887910804,-0.3333333333333333,0.4041095890410959,9000000.0,16.012735246411598
0.4411764705882353,-0.2926529814821187,-0.1290322580645162,0.03550244207390068,1.6507592190889404,0.5512299975862942,0.5,-0.45980894803370953,0.4444444444444444,0.4444444444444444,1.2266821795617617,0.4105046169328773,0.0,0.6,0.4444444444444444,0.4103381497195918,0.6,0.580046403712297,0.5714285714285714,0.42857142857142855,1.1557829085923372,-0.2857142857142857,0.4444444444444444,0.0,0.8024783750097246,0.16666666666666666,0.24260185252565095,1.0,0.6506849315068494,10000000.0,16.118095750958314
-0.6470588235294118,-0.9852900746292391,1.2350230414746537,-3.3880192191838674,1.6507592190889404,-0.7495283820805477,-0.5,1.1604702021803142,-0.6666666666666666,-0.6666666666666666,-0.1939111886755861,-0.7373581664041854,0.0,-0.4,-0.6666666666666666,-1.3124364199062464,-0.7,-0.6264501160092807,-0.5714285714285714,-0.5714285714285714,-1.1430742712646735,0.42857142857142855,-0.6666666666666666,1.0,-1.6066186543300987,-0.5,-0.027521753142120832,-0.3333333333333333,-0.6232876712328768,600000.0,13.304686600863562
-0.4117647058823529,-0.3142978906429656,2.1566820276497687,-7.701737020120964,1.6507592190889404,-1.4128523887148956,-0.5,2.255253411784384,-0.5555555555555556,-0.5555555555555556,-0.9629629629629604,-0.7373581664041854,0.0,-0.2,-0.5555555555555556,-0.6189482334997548,-0.6,-0.505800464037123,-0.42857142857142855,-0.5714285714285714,-1.9895154086178826,0.2857142857142857,-0.5555555555555556,0.0,-1.1279527246627394,-0.3333333333333333,0.1818240412504025,-0.3333333333333333,-0.541095890410959,8000000.0,15.894952224644102
-0.5882352941176471,0.35669429334330793,1.2350230414746537,0.41588674157990896,1.6507592190889404,-0.40849762839768,-0.5,1.1604702021803142,-0.6296296296296297,-0.6296296296296297,-0.10005817335660226,1.4192325174412053,0.0,-0.4,-0.6296296296296297,-0.966382635709981,-0.6,-0.5522041763341067,-0.42857142857142855,-0.5714285714285714,0.46324015984880307,-0.42857142857142855,-0.6296296296296297,0.0,-1.2794446239802881,0.5,1.6472446019980658,-0.3333333333333333,-0.541095890410959,1500000.0,14.220976332738882
-0.35294117647058826,0.35669429334330793,-0.23963133640553008,0.3582682351662884,1.6507592190889404,0.01538029262026987,-0.5,-0.591182933186198,-0.3333333333333333,-0.3333333333333333,0.08861741322474381,0.23310764132624032,0.0,-0.2,-0.3333333333333333,-0.46680971915069713,0.0,-0.28306264501160094,0.14285714285714285,-0.5714285714285714,0.8479861313729892,-1.0,-0.3333333333333333,0.0,-0.48492413214134295,1.1666666666666667,0.0562165646148882,-0.3333333333333333,-0.2534246575342466,1000000.0,13.815511557963774
0.058823529411764705,0.044323171856689596,-0.5898617511520736,0.4250775609387275,1.6507592190889404,0.0064613646034203335,0.0,-1.0072005528357446,0.25925925925925924,0.25925925925925924,-0.01628853984874757,-0.6788460160672949,-0.9561060408518173,0.1,0.2518518518518519,0.31753787655245125,0.9,0.060324825986078884,0.8571428571428571,0.0,0.7037063920514189,-0.42857142857142855,0.25102880658436216,1.0,0.9002529447441132,0.3333333333333333,-0.8454309033268631,0.3333333333333333,0.07534246575342465,20000000.0,16.811242881518265
0.058823529411764705,0.044323171856689596,-0.5898617511520736,0.4250775609387275,1.6507592190889404,0.0064613646034203335,0.0,-1.0072005528357446,0.25925925925925924,0.25925925925925924,-0.01628853984874757,-0.6788460160672949,-0.9561060408518173,0.1,0.2518518518518519,0.31753787655245125,0.9,0.060324825986078884,0.8571428571428571,0.0,0.7037063920514189,-0.42857142857142855,0.25102880658436216,1.0,0.9002529447441132,0.3333333333333333,-0.8454309033268631,0.3333333333333333,0.07534246575342465,20000000.0,16.811242881518265
0.7941176470588235,0.613908551358762,0.018433179723502315,0.41588674157990896,1.6507592190889404,-0.4558946319819219,0.0,-0.28464363449705815,0.7037037037037037,0.7037037037037037,-0.7155322862129102,-0.027953336191885794,0.0,0.6,0.7037037037037037,0.5127661666906008,0.6,0.728538283062645,1.0,1.4285714285714286,0.46324015984880307,0.14285714285714285,0.7037037037037037,0.0,0.7452041178132351,-0.16666666666666666,-0.0715945519615992,0.0,0.7328767123287672,10000000.0,16.118095750958314
