Player,Nation,Pos,Team,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Juan Musso,ARG,GK,Atlético Madrid,30,1994,2,2,180,2.0,0,0.00,2,2,100.0,2,0,0,2,100.0,0,0,0,0,N/A
Ørjan Nyland,NOR,GK,Sevilla,33,1990,30,30,"2,673",29.7,39,1.31,112,73,67.9,8,10,12,7,23.3,4,3,1,0,25.0
Jan Oblak,SVN,GK,Atlético Madrid,31,1993,36,36,"3,240",36.0,30,0.83,114,86,78.1,20,10,6,15,41.7,5,5,0,0,0.0
Jesús Owono,EQG,GK,Alavés,23,2001,6,5,487,5.4,7,1.29,14,7,57.1,1,1,3,0,0.0,1,1,0,0,0.0
Alex Padilla,ESP,GK,Athletic Club,20,2003,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0.0,1,1,0,0,0.0
Iñaki Peña,ESP,GK,Barcelona,25,1999,16,15,"1,396",15.5,18,1.16,53,35,69.8,7,3,5,4,26.7,2,2,0,0,0.0
Arnau Rafús,ESP,GK,Valladolid,21,2003,1,1,90,1.0,2,2.00,2,0,0.0,0,0,1,0,0.0,0,0,0,0,N/A
Álex Remiro,ESP,GK,Real Sociedad,29,1995,36,36,"3,240",36.0,43,1.19,130,86,70.8,13,7,16,13,36.1,6,5,1,0,16.7
Adrian Rodriguez,ESP,GK,Alavés,23,2000,2,1,122,1.4,2,1.48,6,4,83.3,0,1,0,1,100.0,1,1,0,0,0.0
Leo Román,ESP,GK,Mallorca,24,2000,7,7,630,7.0,10,1.43,49,39,81.6,2,1,4,2,28.6,1,1,0,0,0.0
Rui Silva,POR,GK,Betis,30,1994,15,15,"1,350",15.0,18,1.20,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0.0
Unai Simón,ESP,GK,Athletic Club,27,1997,21,21,"1,890",21.0,14,0.67,62,47,79.0,10,8,3,10,47.6,2,1,1,0,50.0
Antonio Sivera,ESP,GK,Alavés,27,1996,32,32,"2,810",31.2,39,1.25,112,75,73.2,9,10,13,8,25.0,9,9,0,0,0.0
David Soria,ESP,GK,Getafe,31,1993,38,38,"3,420",38.0,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1
Juan Soriano,ESP,GK,Leganés,26,1997,6,6,540,6.0,7,1.17,25,19,72.0,1,2,3,1,16.7,0,0,0,0,N/A
Wojciech Szczęsny,POL,GK,Barcelona,34,1990,15,15,"1,350",15.0,12,0.80,33,21,66.7,14,1,0,8,53.3,1,1,0,0,0.0
Marc-André ter Stegen,GER,GK,Barcelona,32,1992,8,8,674,7.5,9,1.20,22,13,63.6,7,0,1,1,12.5,1,1,0,0,0.0
Fran Vieites,ESP,GK,Betis,25,1999,4,4,360,4.0,5,1.25,11,6,54.5,1,2,1,0,0.0,0,0,0,0,N/A
Iván Villar,ESP,GK,Celta Vigo,27,1997,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0
