Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Joshua Acheampong,ENG,DF,Chelsea,18,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3
Tyler Adams,USA,MF,Bournemouth,25,1999,21.8,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3
Tosin Adarabioyo,ENG,DF,Chelsea,26,1997,15.7,4,0,0,8,9,1,0,11,13,0,0,0,41,42,28,60.0
Simon Adingra,CIV,"FW,MF",Brighton,22,2002,12.2,0,0,0,13,4,4,41,8,14,0,0,0,47,7,4,63.6
Emmanuel Agbadou,CIV,DF,Wolves,27,1997,15.7,3,0,0,7,4,1,2,12,19,0,0,0,83,26,20,56.5
Asher Agbinone,ENG,MF,Crystal Palace,18,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
Ola Aina,NGA,DF,Nott'ham Forest,27,1996,33.3,5,0,0,23,35,2,59,33,42,0,1,0,190,13,19,40.6
Rayan Aït-Nouri,ALG,DF,Wolves,23,2001,34.5,7,1,1,30,46,6,94,26,57,0,0,0,145,22,30,42.3
Kristoffer Ajer,NOR,DF,Brentford,26,1998,16.0,5,0,0,13,6,2,14,12,18,0,0,0,42,27,23,54.0
Manuel Akanji,SUI,DF,Manchester City,29,1995,22.4,3,0,0,17,9,0,11,9,12,0,0,0,103,30,33,47.6
Nathan Aké,NED,DF,Manchester City,29,1995,7.5,0,0,0,2,0,0,1,3,7,0,0,0,24,13,10,56.5
Carlos Alcaraz,ARG,MF,Southampton,21,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0
Carlos Alcaraz,ARG,"FW,MF",Everton,21,2002,8.5,4,0,0,13,12,1,11,5,5,0,0,0,37,14,8,63.6
Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,26.3,5,0,0,11,9,1,153,31,50,0,0,0,132,3,13,18.8
Alisson,BRA,GK,Liverpool,31,1992,27.9,0,0,0,0,2,0,0,0,0,0,0,0,47,7,0,100.0
Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,1.7,0,0,0,1,3,2,0,0,2,0,0,0,4,0,2,0.0
Edson Álvarez,MEX,MF,West Ham,26,1997,19.7,9,1,1,42,18,4,6,18,27,0,0,0,88,30,23,56.6
Harry Amass,ENG,DF,Manchester Utd,17,2007,3.8,0,0,0,2,4,1,9,2,2,0,0,0,26,7,6,53.8
Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,18,2006,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0
Joachim Andersen,DEN,DF,Crystal Palace,28,1996,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0
Joachim Andersen,DEN,DF,Fulham,28,1996,28.7,6,1,0,18,19,0,12,34,18,0,1,1,122,70,39,64.2
Elliot Anderson,ENG,MF,Nott'ham Forest,21,2002,30.3,10,0,0,49,58,4,86,31,56,0,0,0,207,56,30,65.1
André,BRA,MF,Wolves,23,2001,27.5,7,0,0,36,34,0,0,37,55,0,1,0,194,2,6,25.0
Michail Antonio,JAM,FW,West Ham,34,1990,9.3,1,0,0,12,7,4,25,0,2,0,0,0,22,17,22,43.6
Julian Araujo,MEX,DF,Bournemouth,22,2001,5.5,2,0,0,7,2,1,9,6,5,0,0,0,29,3,9,25.0
Cameron Archer,ENG,FW,Southampton,23,2001,16.0,0,0,0,16,13,8,3,2,8,0,0,0,35,9,30,23.1
Alphonse Areola,FRA,GK,West Ham,31,1993,25.1,0,0,0,0,0,0,0,0,2,0,0,1,29,2,0,100.0
Joe Aribo,NGA,"MF,DF",Southampton,28,1996,22.4,1,0,0,20,28,1,10,20,33,0,1,0,112,25,24,51.0
Adam Armstrong,ENG,"FW,MF",Southampton,27,1997,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7
Harrison Armstrong,ENG,MF,Everton,17,2007,0.5,1,0,0,2,2,0,1,0,0,0,0,0,2,0,2,0.0
Kepa Arrizabalaga,ESP,GK,Bournemouth,29,1994,31.0,3,0,0,2,6,0,0,0,0,0,2,0,56,7,1,87.5
Marco Asensio,ESP,MF,Aston Villa,28,1996,8.3,2,0,0,11,8,2,38,2,5,0,0,0,28,0,1,0.0
Brandon Austin,ENG,GK,Tottenham,25,1999,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26,1997,4.6,0,0,0,8,10,1,2,0,3,0,0,0,18,13,38,25.5
Yasin Ayari,SWE,MF,Brighton,20,2003,21.8,3,0,0,37,26,3,69,20,32,0,1,0,118,16,20,44.4
Jordan Ayew,GHA,"FW,MF",Crystal Palace,32,1991,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0
Jordan Ayew,GHA,"FW,MF",Leicester City,32,1991,18.2,5,0,0,30,59,7,60,12,15,0,0,0,93,37,80,31.6
Benoît Badiashile,FRA,DF,Chelsea,23,2001,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0
Leon Bailey,JAM,"FW,MF",Aston Villa,26,1997,12.7,3,0,0,12,18,3,34,3,5,1,0,0,59,6,9,40.0
Carlos Baleba,CMR,MF,Brighton,20,2004,29.6,8,1,1,40,48,0,9,46,46,0,2,0,197,39,26,60.0
Ross Barkley,ENG,MF,Aston Villa,30,1993,6.5,3,0,0,8,3,0,1,10,3,0,0,0,43,6,4,60.0
Harvey Barnes,ENG,FW,Newcastle Utd,26,1997,19.5,0,0,0,15,22,5,47,6,9,0,0,0,55,6,15,28.6
Calvin Bassey,NGA,DF,Fulham,24,1999,34.2,7,0,0,26,32,2,8,20,34,0,0,0,168,43,33,56.6
Altay Bayındır,TUR,GK,Manchester Utd,26,1998,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,50.0
Jan Bednarek,POL,DF,Southampton,28,1996,28.1,7,0,0,31,13,0,1,56,19,0,1,0,106,71,37,65.7
Armel Bella Kotchap,GER,DF,Southampton,22,2001,3.7,0,0,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5
Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26,1998,18.6,3,0,0,31,47,1,44,10,24,0,0,0,62,10,19,34.5
Rodrigo Bentancur,URU,MF,Tottenham,27,1997,18.3,9,0,0,34,10,1,4,40,22,0,0,0,121,36,30,54.5
Daniel Bentley,ENG,GK,Wolves,31,1993,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0
Sander Berge,NOR,MF,Fulham,26,1998,24.7,6,0,0,31,10,0,3,21,30,0,0,0,126,28,22,56.0
Lucas Bergvall,SWE,MF,Tottenham,18,2006,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9
Victor Bernth Kristiansen,DEN,DF,Leicester City,21,2002,27.6,1,0,0,19,18,3,97,42,51,0,1,1,99,22,42,34.4
Beto,GNB,FW,Everton,26,1998,17.0,2,0,0,33,23,16,4,4,6,0,0,0,40,99,105,48.5
Philip Billing,DEN,MF,Bournemouth,28,1996,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0
Yves Bissouma,MLI,MF,Tottenham,27,1996,15.6,7,0,0,28,18,0,2,18,31,0,2,0,85,7,7,50.0
Willy Boly,CIV,DF,Nott'ham Forest,33,1991,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75.0
Sven Botman,NED,DF,Newcastle Utd,24,2000,4.6,1,0,0,5,4,0,0,5,9,0,0,0,14,17,9,65.4
Jarrod Bowen,ENG,"FW,MF",West Ham,27,1996,33.0,1,0,0,20,51,10,106,16,26,0,0,0,129,12,48,20.0
Conor Bradley,NIR,DF,Liverpool,21,2003,8.4,4,0,0,12,14,1,7,4,10,0,0,0,51,11,7,61.1
Jarrad Branthwaite,ENG,DF,Everton,22,2002,27.9,4,0,0,12,18,1,5,27,20,0,0,0,93,61,42,59.2
James Bree,ENG,DF,Southampton,26,1997,11.9,0,0,0,4,5,0,29,9,14,0,0,0,65,12,7,63.2
Ben Brereton,CHI,FW,Southampton,25,1999,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3
Nathan Broadhead,WAL,"MF,FW",Ipswich Town,26,1998,7.8,1,0,0,4,13,2,9,4,4,0,0,0,32,1,10,9.1
Armando Broja,ALB,FW,Everton,22,2001,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2
David Brooks,WAL,"FW,MF",Bournemouth,27,1997,10.7,3,0,0,11,18,0,52,5,6,0,0,0,50,7,10,41.2
Emi Buendía,ARG,"MF,FW",Aston Villa,27,1996,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0
Santiago Bueno,URU,DF,Wolves,25,1998,18.7,2,0,0,26,5,0,0,15,21,0,0,0,43,35,31,53.0
Facundo Buonanotte,ARG,"FW,MF",Leicester City,19,2004,16.9,8,0,0,37,35,3,43,12,32,0,0,0,79,18,36,33.3
Cameron Burgess,AUS,DF,Ipswich Town,28,1995,17.1,0,0,0,6,4,1,0,14,12,0,0,0,44,44,22,66.7
Dan Burn,ENG,DF,Newcastle Utd,32,1992,37.0,11,0,0,34,12,5,3,27,24,0,0,2,103,146,75,66.1
Wes Burns,WAL,"FW,DF",Ipswich Town,29,1994,10.3,1,0,0,4,11,0,46,10,11,0,0,0,50,8,21,27.6
Moisés Caicedo,ECU,"MF,DF",Chelsea,22,2001,37.2,11,0,0,70,58,0,10,49,73,2,1,0,229,35,16,68.6
Tom Cairney,SCO,MF,Fulham,33,1991,7.0,3,1,0,8,19,0,20,4,5,0,0,0,52,5,9,35.7
Jens Cajuste,SWE,MF,Ipswich Town,24,1999,21.8,2,0,0,24,22,0,10,28,22,0,0,0,107,13,22,37.1
Riccardo Calafiori,ITA,DF,Arsenal,22,2002,10.9,4,0,0,16,6,3,11,9,19,0,0,0,35,22,14,61.1
Dominic Calvert-Lewin,ENG,FW,Everton,27,1997,17.9,2,0,0,27,23,27,6,7,7,0,0,0,35,85,81,51.2
Diego Carlos,BRA,DF,Aston Villa,31,1993,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4
Fabio Carvalho,POR,"FW,MF",Brentford,21,2002,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0
Casemiro,BRA,MF,Manchester,Utd 32,1992,16.6,5,0,0,20,19,4,20,14,50,0,0,0,103,36,19,65.5
Kaelan Casey,ENG,DF,West Ham,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Matty Cash,POL,DF,Aston Villa,26,1997,23.0,7,0,0,27,20,1,40,23,32,0,2,0,81,20,20,50.0
Eiran Cashin,IRL,DF,Brighton,22,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7
Timothy Castagne,BEL,DF,Fulham,28,1995,18.3,1,0,0,15,6,1,37,22,29,0,1,0,57,34,35,49.3
Trevoh Chalobah,ENG,DF,Crystal Palace,25,1999,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7
Trevoh Chalobah,ENG,DF,Chelsea,25,1999,10.1,2,0,0,9,7,0,3,10,7,0,0,0,29,23,12,65.7
Conor Chaplin,ENG,"MF,FW",Ipswich Town,27,1997,9.5,2,0,0,11,7,0,9,4,5,0,0,0,27,3,9,25.0
Youssef Chermiti,POR,"FW,MF",Everton,20,2004,0.5,1,0,0,1,1,2,1,0,0,0,0,0,0,2,1,66.7
Federico Chiesa,ITA,FW,Liverpool,26,1997,1.2,0,0,0,3,2,0,2,0,0,0,0,0,6,0,4,0.0
Ben Chilwell,ENG,DF,Crystal Palace,27,1996,2.9,1,0,0,2,3,2,7,6,6,0,0,0,20,3,4,42.9
Ryan Christie,SCO,MF,Bournemouth,29,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7
Harry Clarke,ENG,DF,Ipswich Town,23,2001,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4
Jack Clarke,ENG,"FW,MF",Ipswich Town,23,2000,13.1,2,0,0,15,23,3,13,7,20,0,0,0,75,7,18,28.0
Conor Coady,ENG,DF,Leicester City,31,1993,19.0,3,0,0,8,2,1,0,13,9,0,2,0,62,13,22,37.1
Séamus Coleman,IRL,DF,Everton,35,1988,2.4,1,0,0,0,1,0,4,1,2,0,0,0,7,2,1,66.7
Nathan Collins,IRL,DF,Brentford,23,2001,38.0,5,0,0,29,31,6,8,34,24,2,0,0,162,117,69,62.9
Toby Collyer,ENG,MF,Manchester Utd,20,2004,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0
Levi Colwill,ENG,DF,Chelsea,21,2003,35.0,9,0,0,45,21,5,13,33,34,0,1,0,121,82,53,60.7
Lewis Cook,ENG,"MF,DF",Bournemouth,27,1997,33.1,8,1,0,49,10,3,132,41,42,0,1,0,187,41,34,54.7
Maxwel Cornet,CIV,FW,Southampton,27,1996,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0
Vladimír Coufal,CZE,DF,West Ham,31,1992,11.9,5,0,0,22,16,0,28,8,15,0,0,1,39,23,16,59.0
Woyo Coulibaly,MLI,DF,Leicester City,25,1999,1.2,1,0,0,2,1,0,0,5,4,0,0,0,14,0,3,0.0
Aaron Cresswell,ENG,DF,West Ham,34,1989,9.2,3,0,0,4,2,0,36,8,7,0,0,0,36,7,7,50.0
Marc Cucurella,ESP,DF,Chelsea,26,1998,33.2,10,1,1,37,38,3,31,28,45,0,0,0,130,32,57,36.0
Jorge Cuenca,ESP,DF,Fulham,24,1999,3.9,0,0,0,2,2,0,1,2,2,0,0,0,10,6,3,66.7
Matheus Cunha,BRA,"MF,FW",Wolves,25,1999,28.9,4,0,0,42,71,8,142,17,22,0,1,0,125,13,29,31.0
Patson Daka,ZAM,"FW,MF",Leicester City,25,1998,8.2,0,0,0,15,19,3,3,1,10,0,0,0,18,10,28,26.3
Diogo Dalot,POR,DF,Manchester Utd,25,1999,31.3,5,0,0,40,9,4,66,37,40,0,1,0,167,38,21,64.4
Mikkel Damsgaard,DEN,"MF,FW",Brentford,24,2000,32.3,2,0,0,18,27,6,144,27,44,0,0,0,179,12,27,30.8
Danilo,BRA,"MF,FW",Nott'ham,Forest 23,2001,3.1,0,0,0,2,0,0,3,4,4,0,0,0,19,1,2,33.3
Kevin Danso,AUT,DF,Tottenham,25,1998,9.4,0,0,0,9,13,0,1,6,5,0,0,0,27,21,12,63.6
Ben Davies,WAL,DF,Tottenham,31,1993,14.8,5,0,0,17,7,0,4,12,11,0,0,0,41,52,44,54.2
Leif Davis,ENG,DF,Ipswich Town,24,2000,30.5,5,1,0,27,31,5,161,25,27,0,2,0,113,34,23,59.6
Craig Dawson,ENG,DF,Wolves,34,1990,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6
Kevin De Bruyne,BEL,"MF,FW",Manchester City,33,1991,18.9,2,0,0,17,18,5,145,7,9,0,0,0,64,5,16,23.8
Bobby De Cordova-Reid,JAM,FW,Leicester City,31,1993,8.3,2,0,0,9,9,4,15,0,4,1,0,0,29,6,14,30.0
Liam Delap,ENG,FW,Ipswich Town,21,2003,28.8,12,0,0,72,51,14,5,2,8,2,0,0,68,55,74,42.6
Justin Devenny,NIR,MF,Crystal Palace,20,2003,5.6,1,0,0,8,0,1,17,0,12,0,0,0,27,2,13,13.3
Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,25,1998,2.9,0,0,0,4,6,0,2,2,5,0,0,0,9,0,1,0.0
Amad Diallo,CIV,"MF,FW",Manchester Utd,22,2002,21.1,5,0,0,21,28,9,42,11,31,2,0,0,109,10,15,40.0
Rúben Dias,POR,DF,Manchester City,27,1997,25.2,4,0,0,12,8,0,3,20,11,0,1,1,78,37,34,52.1
Luis Díaz,COL,FW,Liverpool,27,1997,26.7,2,0,0,48,31,10,32,7,26,2,0,0,105,13,38,25.5
Tyler Dibling,ENG,"FW,MF",Southampton,18,2006,20.8,6,0,0,30,50,2,28,8,20,2,0,0,80,10,25,28.6
Lucas Digne,FRA,DF,Aston Villa,31,1993,26.1,4,0,0,21,16,7,140,25,38,0,0,0,104,37,28,56.9
Issa Diop,FRA,DF,Fulham,27,1997,14.9,2,0,0,10,4,0,1,9,12,0,0,1,45,20,12,62.5
Axel Disasi,FRA,DF,Aston Villa,26,1998,5.4,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1
Axel Disasi,FRA,DF,Chelsea,26,1998,4.0,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4
Roman Dixon,ENG,DF,Everton,19,2004,1.0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0.0
Nasser Djiga,BFA,DF,Wolves,21,2002,0.7,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,50.0
Matt Doherty,IRL,DF,Wolves,32,1992,23.4,6,0,0,18,11,2,22,22,21,0,0,1,106,56,21,72.7
Jeremy Doku,BEL,"FW,MF",Manchester City,22,2002,16.8,1,0,0,10,33,5,59,4,22,0,0,0,63,0,12,0.0
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,26,1998,21.8,9,0,0,33,18,1,7,29,45,0,0,0,114,27,23,54.0
Patrick Dorgu,DEN,DF,Manchester Utd,19,2004,9.4,3,1,0,17,28,3,39,4,24,0,0,0,37,15,9,62.5
Abdoulaye Doucouré,MLI,MF,Everton,31,1993,28.5,5,1,1,49,5,10,23,10,28,0,0,0,150,30,44,40.5
Cheick Doucouré,MLI,MF,Crystal Palace,24,2000,5.0,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50.0
Flynn Downes,ENG,MF,Southampton,25,1999,23.9,12,0,0,50,39,0,4,32,25,0,0,0,83,17,17,50.0
Tommy Doyle,ENG,MF,Wolves,22,2001,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3
Radu Drăgușin,ROU,DF,Tottenham,22,2002,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0
Martin Dúbravka,SVK,GK,Newcastle Utd,35,1989,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0
Lewis Dunk,ENG,DF,Brighton,32,1991,23.1,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2
Jáder Durán,COL,FW,Aston Villa,20,2003,7.1,3,1,0,14,15,5,3,0,7,0,0,0,19,19,19,50.0
Ederson,BRA,GK,Manchester,City 30,1993,25.8,4,0,0,1,0,0,0,1,0,0,1,0,42,4,1,80.0
Odsonne Édouard,FRA,"MF,FW",Crystal Palace,26,1998,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0
Odsonne Édouard,FRA,FW,Leicester City,26,1998,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0
Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,22,2002,27.8,1,0,0,9,47,18,185,6,14,0,0,0,89,24,37,39.3
Harvey Elliott,ENG,MF,Liverpool,21,2003,4.1,1,0,0,0,1,1,12,1,3,0,0,0,15,1,2,33.3
Yunus Emre Konak,TUR,"FW,MF",Brentford,18,2006,0.5,0,0,0,3,1,0,0,0,4,0,0,0,2,5,9,35.7
Julio Enciso,PAR,"MF,FW",Ipswich Town,20,2004,9.7,3,0,0,9,21,0,21,1,9,0,1,0,43,8,17,32.0
Julio Enciso,PAR,"MF,FW",Brighton,20,2004,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5
Wataru Endo,JPN,"MF,DF",Liverpool,31,1993,3.0,0,0,0,15,7,0,1,6,8,0,0,0,14,3,4,42.9
Christian Eriksen,DEN,MF,Manchester Utd,32,1992,11.8,4,0,0,8,3,0,85,7,9,0,0,0,62,2,6,25.0
Romain Esse,ENG,MF,Crystal Palace,19,2005,1.5,0,0,0,2,3,0,0,1,6,0,0,0,9,3,2,60.0
Pervis Estupiñán,ECU,DF,Brighton,26,1998,26.7,5,0,0,36,20,3,119,37,43,0,0,0,147,46,26,63.9
Evanilson,BRA,FW,Bournemouth,24,1999,25.8,1,1,0,37,53,20,0,1,10,5,0,0,67,42,62,40.4
Jonny Evans,NIR,DF,Manchester Utd,36,1988,3.5,1,0,0,5,6,0,0,5,6,0,0,0,16,9,3,75.0
Eberechi Eze,ENG,"MF,FW",Crystal Palace,26,1998,28.8,1,0,0,13,51,9,112,11,22,0,0,0,146,7,37,15.9
Łukasz Fabiański,POL,GK,West Ham,39,1985,12.9,2,0,0,2,1,0,0,0,0,0,2,0,5,3,1,75.0
Wout Faes,BEL,DF,Leicester City,26,1998,31.3,4,0,0,23,11,1,5,26,26,0,0,0,90,45,36,55.6
Abdul Fatawu Issahaku,GHA,FW,Leicester City,20,2004,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9
João Félix,POR,"FW,MF",Chelsea,24,1999,4.1,2,0,0,6,17,1,0,3,3,0,0,0,22,4,5,44.4
Evan Ferguson,IRL,FW,West Ham,19,2004,1.7,0,0,0,1,2,0,0,1,1,0,0,0,8,5,10,33.3
Evan Ferguson,IRL,FW,Brighton,19,2004,2.7,0,0,0,3,1,0,0,0,3,0,0,0,10,4,9,30.8
Bruno Fernandes,POR,MF,Manchester Utd,29,1994,33.5,5,2,1,32,40,2,186,26,50,0,0,0,213,22,28,44.0
Mateus Fernandes,POR,MF,Southampton,20,2004,32.3,8,0,0,46,55,4,113,28,48,0,0,0,179,15,9,62.5
Enzo Fernández,ARG,MF,Chelsea,23,2001,32.7,8,0,0,52,54,2,109,13,33,0,0,0,156,14,29,32.6
Mark Flekken,NED,GK,Brentford,31,1993,36.4,1,0,0,0,3,0,0,0,4,0,0,0,39,4,0,100.0
Phil Foden,ENG,"MF,FW",Manchester City,24,2000,19.7,2,0,0,5,34,3,80,9,5,0,0,0,61,3,9,25.0
Wesley Fofana,FRA,DF,Chelsea,23,2000,13.0,7,0,0,24,16,0,1,14,12,0,0,0,54,27,12,69.2
Carlos Forbs,POR,"MF,FW",Wolves,20,2004,2.7,2,0,0,2,1,0,9,1,5,0,0,0,11,1,3,25.0
Fraser Forster,ENG,GK,Tottenham,36,1988,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Matheus França,BRA,"MF,FW",Crystal Palace,20,2004,0.6,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2,33.3
Ryan Fraser,SCO,"FW,DF",Southampton,30,1994,3.4,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0
Tyler Fredricson,ENG,DF,Manchester Utd,19,2005,1.8,0,0,0,0,2,0,0,1,3,0,0,0,12,7,5,58.3
Niclas Füllkrug,GER,FW,West Ham,31,1993,8.8,2,0,0,21,6,10,1,1,3,0,0,0,18,39,52,42.9
Cody Gakpo,NED,FW,Liverpool,25,1999,21.5,5,0,0,20,31,5,74,12,16,1,0,0,77,17,26,39.5
Idrissa Gana Gueye,SEN,MF,Everton,34,1989,34.0,9,0,0,55,46,0,7,48,80,0,0,0,194,24,15,61.5
Alejandro Garnacho,ARG,"MF,FW",Manchester Utd,20,2004,24.4,3,0,0,12,43,10,56,13,18,0,0,0,108,3,24,11.1
James Garner,ENG,"MF,DF",Everton,23,2001,17.7,5,0,0,20,15,0,57,23,31,0,0,0,73,11,13,45.8
Tyrique George,ENG,FW,Chelsea,18,2006,2.0,1,0,0,3,0,2,3,2,0,0,0,0,4,0,4,0.0
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24,2000,31.1,11,1,1,38,40,7,45,23,22,1,0,0,127,40,55,42.1
Ben Godfrey,ENG,DF,Ipswich Town,26,1998,1.8,1,0,0,1,0,0,0,2,0,0,0,0,2,3,0,100.0
Martial Godo,ENG,"FW,DF",Fulham,21,2003,0.3,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0.0
João Gomes,BRA,MF,Wolves,23,2001,33.0,11,1,1,70,47,1,29,25,71,0,0,0,200,11,26,29.7
Toti Gomes,POR,DF,Wolves,25,1999,29.0,7,0,0,24,15,4,13,25,43,0,1,0,116,53,26,67.1
Diego Gómez,PAR,MF,Brighton,21,2003,5.7,0,0,0,8,3,1,12,8,13,1,0,0,32,10,4,71.4
Joe Gomez,ENG,DF,Liverpool,27,1997,5.8,1,0,0,2,3,0,2,7,10,0,0,0,34,9,4,69.2
Nicolás González,ESP,MF,Manchester City,22,2002,8.4,3,0,0,13,5,0,1,8,6,0,0,0,31,16,12,57.1
Anthony Gordon,ENG,"FW,MF",Newcastle Utd,23,2001,27.0,2,0,0,20,71,8,131,7,18,1,0,0,97,8,8,50.0
Ryan Gravenberch,NED,MF,Liverpool,22,2002,35.1,6,1,0,47,52,0,7,60,35,0,0,0,193,26,14,65.0
Jack Grealish,ENG,"FW,MF",Manchester City,28,1995,8.0,3,0,0,5,25,0,20,2,5,0,0,0,26,1,7,12.5
Jacob Greaves,ENG,DF,Ipswich Town,23,2000,24.5,5,0,0,16,21,1,1,21,21,0,0,0,61,83,40,67.5
Brajan Gruda,GER,"MF,FW",Brighton,20,2004,7.6,0,0,0,7,12,1,29,2,8,0,0,0,26,3,5,37.5
Albert Grønbaek,DEN,"FW,MF",Southampton,23,2001,1.6,0,0,0,0,1,0,1,0,1,0,0,0,6,2,0,100.0
Gonçalo Guedes,POR,"MF,FW",Wolves,27,1996,11.1,1,0,0,15,17,3,22,5,5,0,0,0,36,5,13,27.8
Marc Guéhi,ENG,DF,Crystal Palace,24,2000,34.0,9,1,1,24,27,1,13,28,34,0,0,3,146,68,58,54.0
Luis Guilherme,BRA,"MF,FW",West Ham,18,2006,1.7,0,0,0,0,4,0,8,3,0,0,0,0,7,2,1,66.7
Bruno Guimarães,BRA,MF,Newcastle Utd,26,1997,36.3,7,0,0,65,108,2,28,29,47,0,0,0,188,18,19,48.6
Marc Guiu,ESP,FW,Chelsea,18,2006,0.8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0
İlkay Gündoğan,GER,MF,Manchester City,33,1990,24.7,1,0,0,15,27,1,60,13,13,1,0,0,116,14,11,56.0
Malo Gusto,FRA,DF,Chelsea,21,2003,20.7,4,0,0,20,20,2,53,24,29,0,0,0,119,9,15,37.5
Joško Gvardiol,CRO,DF,Manchester City,22,2002,36.4,2,0,0,16,27,3,22,44,39,0,0,0,137,54,41,56.8
Erling Haaland,NOR,FW,Manchester City,24,2000,30.4,2,0,0,24,13,4,3,5,6,0,0,0,34,57,50,53.3
Lewis Hall,ENG,DF,Newcastle Utd,19,2004,24.3,3,0,0,9,21,1,110,18,41,0,0,0,119,30,31,49.2
Ali Al Hamadi,IRQ,FW,Ipswich Town,22,2002,1.5,3,0,0,8,3,1,0,0,0,0,0,0,4,5,9,35.7
Jack Harrison,ENG,FW,Everton,27,1996,23.1,0,0,0,13,28,4,131,10,22,1,0,0,73,4,28,12.5
Taylor Harwood-Bellis,ENG,DF,Southampton,22,2002,31.4,9,0,0,35,14,0,10,30,20,0,0,0,123,63,49,56.3
Kai Havertz,GER,"FW,MF",Arsenal,25,1999,20.8,5,0,0,38,23,14,11,6,9,0,0,0,41,63,78,44.7
Ayden Heaven,ENG,DF,Manchester Utd,17,2006,1.9,1,0,0,4,4,0,0,4,3,0,0,0,11,2,3,40.0
Hwang Hee-chan,KOR,"MF,FW",Wolves,28,1996,7.3,0,0,0,6,9,0,8,2,4,0,0,0,28,3,9,25.0
Dean Henderson,ENG,GK,Crystal Palace,27,1997,38.0,3,0,0,0,2,0,0,0,1,0,0,0,26,11,1,91.7
Rico Henry,ENG,DF,Brentford,27,1997,1.1,0,0,0,2,2,0,2,1,2,0,0,0,7,2,1,66.7
